,precision,recall,f1-score,support
Anemic,0.974293059125964,0.9869791666666666,0.9805950840879689,384.0
Non-Anemic,0.98,0.9607843137254902,0.9702970297029703,255.0
accuracy,0.9765258215962441,0.9765258215962441,0.9765258215962441,0.9765258215962441
macro avg,0.977146529562982,0.9738817401960784,0.9754460568954696,639.0
weighted avg,0.9765704768456497,0.9765258215962441,0.9764855318686032,639.0
